0	93.6252	83,205	128,134,065
1	58.0750	577	1,928,462
2	57.5440	596	1,960,755
3	63.9641	673	1,998,816
4	59.9881	668	2,040,999
5	64.1032	709	2,090,647
6	64.8080	778	2,159,800
7	64.5798	797	2,189,347
8	66.4775	832	2,217,179
9	67.6235	881	2,252,441
10	70.0765	930	2,292,755
11	66.7547	921	2,342,532
12	66.2522	951	2,390,596
13	73.9697	1,076	2,440,700
14	73.8815	1,093	2,487,715
15	74.5809	1,138	2,536,988
16	86.5140	1,351	2,600,110
17	112.9697	1,802	2,664,758
18	130.6294	2,167	2,729,893
19	138.4995	2,369	2,794,839
20	127.2134	2,235	2,860,558
21	116.1606	2,095	2,926,098
22	115.9054	2,122	2,993,243
23	116.5525	2,185	3,057,512
24	118.2739	2,268	3,125,119
25	121.5380	2,419	3,193,194
26	121.7190	2,493	3,259,867
27	115.2264	2,449	3,310,318
28	120.6510	2,632	3,347,811
29	109.9359	2,514	3,377,612
30	108.3040	2,529	3,411,103
31	106.5171	2,588	3,452,720
32	108.4548	2,746	3,521,879
33	114.1421	3,035	3,575,770
34	107.4028	2,947	3,624,345
35	104.2186	3,018	3,680,161
36	99.0023	2,997	3,727,720
37	94.6160	3,007	3,781,821
38	81.7489	2,716	3,835,074
39	79.0859	2,709	3,881,556
40	68.6069	2,453	3,932,369
41	72.8733	2,728	3,990,519
42	76.2138	2,930	4,046,881
43	77.4221	3,081	4,101,483
