DSC,simulate,analyze,score,score.metric
47,bigstep,HPR,time,175.38387274742126
48,bigstep,HPR,time,160.8917624950409
49,bigstep,HPR,time,135.0215766429901
50,bigstep,HPR,time,236.07742357254028
51,bigstep,HPR,time,209.2842514514923
52,bigstep,HPR,time,145.03276324272156
53,bigstep,HPR,time,137.39387679100037
54,bigstep,HPR,time,190.115300655365
55,bigstep,HPR,time,277.76577973365784
56,bigstep,HPR,time,190.46476531028748
57,bigstep,HPR,time,145.5109407901764
58,bigstep,HPR,time,239.239004611969
59,bigstep,HPR,time,159.22372698783875
60,bigstep,HPR,time,148.6935157775879
61,bigstep,HPR,time,145.26420736312866
62,bigstep,HPR,time,126.3643729686737
63,bigstep,HPR,time,148.4119074344635
64,bigstep,HPR,time,171.93215155601501
65,bigstep,HPR,time,167.63199710845947
66,bigstep,HPR,time,140.3555417060852
67,bigstep,HPR,time,236.76524209976196
68,bigstep,HPR,time,120.12232661247253
69,bigstep,HPR,time,221.43663477897644
70,bigstep,HPR,time,83.96596717834473
71,bigstep,HPR,time,141.78551173210144
72,bigstep,HPR,time,147.86573314666748
73,bigstep,HPR,time,121.38733625411987
74,bigstep,HPR,time,171.86460733413696
75,bigstep,HPR,time,165.88499927520752
76,bigstep,HPR,time,98.740447998046875
77,bigstep,HPR,time,174.39768624305725
78,bigstep,HPR,time,128.55967497825623
79,bigstep,HPR,time,145.8731348514557
80,bigstep,HPR,time,123.52121376991272
81,bigstep,HPR,time,191.87638545036316
82,bigstep,HPR,time,200.60374641418457
83,bigstep,HPR,time,123.86128330230713
84,bigstep,HPR,time,82.03051853179932
85,bigstep,HPR,time,162.5040135383606
86,bigstep,HPR,time,194.38980293273926
87,bigstep,HPR,time,134.5083830356598
88,bigstep,HPR,time,150.1325581073761
89,bigstep,HPR,time,183.69060277938843
90,bigstep,HPR,time,128.26202034950256
91,bigstep,HPR,time,157.930401802063
92,bigstep,HPR,time,125.99776124954224
93,bigstep,HPR,time,178.68405747413635
94,bigstep,HPR,time,152.86921763420105
95,bigstep,HPR,time,183.1780252456665
96,bigstep,HPR,time,120.74637699127197
97,bigstep,HPR,time,117.5107069015503
98,bigstep,HPR,time,99.30175566673279
99,bigstep,HPR,time,185.7743272781372
100,bigstep,HPR,time,146.9088077545166
1,bigstep,HPR,rhat,0
2,bigstep,HPR,rhat,0
3,bigstep,HPR,rhat,0
4,bigstep,HPR,rhat,0
5,bigstep,HPR,rhat,0
6,bigstep,HPR,rhat,0
7,bigstep,HPR,rhat,0
8,bigstep,HPR,rhat,0
9,bigstep,HPR,rhat,0
10,bigstep,HPR,rhat,0
11,bigstep,HPR,rhat,0
12,bigstep,HPR,rhat,0
13,bigstep,HPR,rhat,0
