0	62.606	667,745	1,095,586,126
1	36.978	5,802	20,491,638
2	38.574	6,157	20,645,967
3	39.570	6,509	20,824,399
4	38.995	6,568	21,035,770
5	40.435	6,946	21,272,552
6	41.349	7,297	21,526,796
7	42.384	7,633	21,689,241
8	42.262	7,812	21,822,466
9	43.612	8,235	21,998,396
10	43.580	8,383	22,197,735
11	45.265	8,925	22,423,982
12	46.909	9,436	22,644,373
13	52.966	10,857	22,872,669
14	54.692	11,404	23,111,066
15	58.138	12,371	23,349,445
16	68.554	14,808	23,657,474
17	87.269	19,262	23,998,620
18	97.997	22,085	24,368,037
19	87.624	20,084	24,713,120
20	76.302	17,700	25,022,087
21	72.368	16,973	25,339,972
22	72.661	17,190	25,652,964
23	74.934	17,957	25,969,420
24	74.089	17,980	26,263,552
25	80.020	19,658	26,520,657
26	80.139	19,950	26,787,544
27	81.516	20,561	27,018,187
28	80.686	20,747	27,165,850
29	75.396	19,789	27,298,693
30	74.027	19,828	27,458,357
31	70.208	19,187	27,662,860
32	77.461	21,670	27,954,662
33	79.247	22,793	28,212,877
34	71.897	21,352	28,496,587
35	70.945	21,708	28,777,105
36	67.793	21,355	29,014,619
37	65.213	21,168	29,270,580
38	53.379	17,906	29,543,367
39	51.045	17,651	29,791,902
40	46.905	16,641	30,042,302
41	49.629	18,062	30,300,875
42	50.655	18,959	30,575,320
43	53.181	20,386	30,802,041
