DSC,simulate,analyze,score,score.metric
17,bigstep,HPR_obs,cover_aug,NA
18,bigstep,HPR_obs,cover_aug,NA
19,bigstep,HPR_obs,cover_aug,NA
20,bigstep,HPR_obs,cover_aug,NA
21,bigstep,HPR_obs,cover_aug,NA
22,bigstep,HPR_obs,cover_aug,NA
23,bigstep,HPR_obs,cover_aug,NA
24,bigstep,HPR_obs,cover_aug,NA
25,bigstep,HPR_obs,cover_aug,NA
26,bigstep,HPR_obs,cover_aug,NA
27,bigstep,HPR_obs,cover_aug,NA
28,bigstep,HPR_obs,cover_aug,NA
29,bigstep,HPR_obs,cover_aug,NA
30,bigstep,HPR_obs,cover_aug,NA
31,bigstep,HPR_obs,cover_aug,NA
32,bigstep,HPR_obs,cover_aug,NA
33,bigstep,HPR_obs,cover_aug,NA
34,bigstep,HPR_obs,cover_aug,NA
35,bigstep,HPR_obs,cover_aug,NA
36,bigstep,HPR_obs,cover_aug,NA
37,bigstep,HPR_obs,cover_aug,NA
38,bigstep,HPR_obs,cover_aug,NA
39,bigstep,HPR_obs,cover_aug,NA
40,bigstep,HPR_obs,cover_aug,NA
41,bigstep,HPR_obs,cover_aug,NA
42,bigstep,HPR_obs,cover_aug,NA
43,bigstep,HPR_obs,cover_aug,NA
44,bigstep,HPR_obs,cover_aug,NA
45,bigstep,HPR_obs,cover_aug,NA
46,bigstep,HPR_obs,cover_aug,NA
47,bigstep,HPR_obs,cover_aug,NA
48,bigstep,HPR_obs,cover_aug,NA
49,bigstep,HPR_obs,cover_aug,NA
50,bigstep,HPR_obs,cover_aug,NA
51,bigstep,HPR_obs,cover_aug,NA
52,bigstep,HPR_obs,cover_aug,NA
53,bigstep,HPR_obs,cover_aug,NA
54,bigstep,HPR_obs,cover_aug,NA
55,bigstep,HPR_obs,cover_aug,NA
56,bigstep,HPR_obs,cover_aug,NA
57,bigstep,HPR_obs,cover_aug,NA
58,bigstep,HPR_obs,cover_aug,NA
59,bigstep,HPR_obs,cover_aug,NA
60,bigstep,HPR_obs,cover_aug,NA
61,bigstep,HPR_obs,cover_aug,NA
62,bigstep,HPR_obs,cover_aug,NA
63,bigstep,HPR_obs,cover_aug,NA
64,bigstep,HPR_obs,cover_aug,NA
65,bigstep,HPR_obs,cover_aug,NA
66,bigstep,HPR_obs,cover_aug,NA
67,bigstep,HPR_obs,cover_aug,NA
68,bigstep,HPR_obs,cover_aug,NA
69,bigstep,HPR_obs,cover_aug,NA
70,bigstep,HPR_obs,cover_aug,NA
71,bigstep,HPR_obs,cover_aug,NA
72,bigstep,HPR_obs,cover_aug,NA
73,bigstep,HPR_obs,cover_aug,NA
74,bigstep,HPR_obs,cover_aug,NA
75,bigstep,HPR_obs,cover_aug,NA
76,bigstep,HPR_obs,cover_aug,NA
77,bigstep,HPR_obs,cover_aug,NA
78,bigstep,HPR_obs,cover_aug,NA
79,bigstep,HPR_obs,cover_aug,NA
80,bigstep,HPR_obs,cover_aug,NA
81,bigstep,HPR_obs,cover_aug,NA
82,bigstep,HPR_obs,cover_aug,NA
83,bigstep,HPR_obs,cover_aug,NA
84,bigstep,HPR_obs,cover_aug,NA
85,bigstep,HPR_obs,cover_aug,NA
86,bigstep,HPR_obs,cover_aug,NA
87,bigstep,HPR_obs,cover_aug,NA
88,bigstep,HPR_obs,cover_aug,NA
89,bigstep,HPR_obs,cover_aug,NA
90,bigstep,HPR_obs,cover_aug,NA
91,bigstep,HPR_obs,cover_aug,NA
92,bigstep,HPR_obs,cover_aug,NA
93,bigstep,HPR_obs,cover_aug,NA
94,bigstep,HPR_obs,cover_aug,NA
95,bigstep,HPR_obs,cover_aug,NA
96,bigstep,HPR_obs,cover_aug,NA
97,bigstep,HPR_obs,cover_aug,NA
98,bigstep,HPR_obs,cover_aug,NA
99,bigstep,HPR_obs,cover_aug,NA
100,bigstep,HPR_obs,cover_aug,NA
1,bigstep,HPR_obs,div,0.044125
2,bigstep,HPR_obs,div,0.035375
3,bigstep,HPR_obs,div,0.031375
4,bigstep,HPR_obs,div,0.06725
5,bigstep,HPR_obs,div,0.06825
6,bigstep,HPR_obs,div,0.05325
7,bigstep,HPR_obs,div,0.037375
8,bigstep,HPR_obs,div,0.041375
9,bigstep,HPR_obs,div,0.03525
10,bigstep,HPR_obs,div,0.05025
11,bigstep,HPR_obs,div,0.039875
12,bigstep,HPR_obs,div,0.049125
13,bigstep,HPR_obs,div,0.057
14,bigstep,HPR_obs,div,0.287625
15,bigstep,HPR_obs,div,0.046375
16,bigstep,HPR_obs,div,0.0605
17,bigstep,HPR_obs,div,0.05825
18,bigstep,HPR_obs,div,0.03675
19,bigstep,HPR_obs,div,0.04525
20,bigstep,HPR_obs,div,0.0535
21,bigstep,HPR_obs,div,0.045375
22,bigstep,HPR_obs,div,0.078625
23,bigstep,HPR_obs,div,0.088375
24,bigstep,HPR_obs,div,0.039125
25,bigstep,HPR_obs,div,0.046
26,bigstep,HPR_obs,div,0.046625
27,bigstep,HPR_obs,div,0.03325
28,bigstep,HPR_obs,div,0.074875
29,bigstep,HPR_obs,div,0.073125
30,bigstep,HPR_obs,div,0.067
31,bigstep,HPR_obs,div,0.05125
32,bigstep,HPR_obs,div,0.070875
33,bigstep,HPR_obs,div,0.04675
34,bigstep,HPR_obs,div,0.03725
35,bigstep,HPR_obs,div,0.028875
36,bigstep,HPR_obs,div,0.045
37,bigstep,HPR_obs,div,0.051625
38,bigstep,HPR_obs,div,0.052625
39,bigstep,HPR_obs,div,0.07
40,bigstep,HPR_obs,div,0.044125
41,bigstep,HPR_obs,div,0.034
42,bigstep,HPR_obs,div,0.04675
43,bigstep,HPR_obs,div,0.051875
44,bigstep,HPR_obs,div,0.027875
45,bigstep,HPR_obs,div,0.053125
46,bigstep,HPR_obs,div,0.0315
47,bigstep,HPR_obs,div,0.039625
48,bigstep,HPR_obs,div,0.053125
49,bigstep,HPR_obs,div,0.036375
50,bigstep,HPR_obs,div,0.026625
51,bigstep,HPR_obs,div,0.04875
52,bigstep,HPR_obs,div,0.043125
53,bigstep,HPR_obs,div,0.03625
54,bigstep,HPR_obs,div,0.107125
55,bigstep,HPR_obs,div,0.04075
56,bigstep,HPR_obs,div,0.0375
57,bigstep,HPR_obs,div,0.03575
